mandataire2,mandataire,lease_rsf,annual_rent,state_category,type1,budget2014,budget2014,budget2013,budget2012,evol,rent_prsf,remaining_term_years
Promotion culturelle,Compagnie générale de navigation sur le lac Léman,309300,"$6,353,225",Autorités,1,309300,309300,309300,250000,"<font size=""4"" style=""color:#7797a3"">▲</font> + 23,7 %",3,2
Service des sports,Subventions et allocations diverses et imprévues,240600,"$1,870,046",Autorités,1,240600,240600,220000,"243780,15","<font size=""4"" style=""color:#d7191c"">▼</font> -1,3 %",1,3
Service des sports,Divers projets pour la Genève Internationale,70000,"$2,496,896",Autorités,1,70000,70000,70000,70000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Fondation GIPRI  (trf du dpt 5),25800,"$6,786,918",Autorités,1,25800,25800,25800,25800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,3
Direction des constructions et de l'aménagement,Rencontres internationales de Genève,22700,"$1,774,839",Autorités,1,22700,22700,22700,22700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Communauté genevoise d'action syndicale ,6200,"$2,339,525",Autorités,1,6200,6200,6200,6200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Amicale des anciens conseillers municipaux,2000,"$6,876,388",Autorités,1,2000,2000,2000,2000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Fonds municipal d'aide humanitaire ,250000,"$3,217,111",Autorités,1,250000,250000,250000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service culturel,Commémoration du bicentenaire de l'adhésion de Genève à la Confédération,50000,"$1,270,303",Autorités,1,50000,50000,50000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service des sports,Rassemblement E/F politique sociale logement,20000,"$2,143,889",Autorités,1,20000,20000,20000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service des sports,"Crèches, garderies et jardins d'enfants",84045346,"$2,375,291",Cohésion sociale et solidarité,2,84045346,84045346,78545346,"73119331,03","<font size=""4"" style=""color:#7797a3"">▲</font> + 14,9 %",3,3
Service culturel,"FAS'e 
",7286082,"$3,240,333",Cohésion sociale et solidarité,2,7286082,7286082,7249832,"6664844,95","<font size=""4"" style=""color:#7797a3"">▲</font> + 9,3 %",3,3
Service des sports,Centres de loisirs,2870000,"$4,346,753",Cohésion sociale et solidarité,2,2870000,2870000,2530000,"2484250,9","<font size=""4"" style=""color:#7797a3"">▲</font> + 15,5 %",3,3
Service culturel,FAS'e (salaires ludothèques),2298000,"$1,261,562",Cohésion sociale et solidarité,2,2298000,2298000,2298000,"2234957,65","<font size=""4"" style=""color:#7797a3"">▲</font> + 2,8 %",3,2
Direction cohésion sociale et solidarité,Restaurants scolaires,994300,"$1,608,094",Cohésion sociale et solidarité,2,994300,994300,894300,"871143,55","<font size=""4"" style=""color:#7797a3"">▲</font> + 14,1 %",3,3
Service culturel,Actions sociales exclusion (Square Hugo),900000,"$686,180",Cohésion sociale et solidarité,2,900000,900000,900000,"825757,7","<font size=""4"" style=""color:#7797a3"">▲</font> + 8,9 %",3,2
Service des sports,Participation frais d'exploitation maisons de vacances pour personnes âgées (Nouvelle Roseraie),624970,"$2,666,050",Cohésion sociale et solidarité,2,624970,624970,624970,582128,"<font size=""4"" style=""color:#7797a3"">▲</font> + 7,3 %",3,2
Ecoles et institutions pour l'enfance,Fondation Trajets - buanderie,550000,"$5,329,954",Cohésion sociale et solidarité,2,550000,550000,550000,"383538,63","<font size=""4"" style=""color:#7797a3"">▲</font> + 43,4 %",3,2
Direction cohésion sociale et solidarité,"Travaux crèches, garderies, jardins d'enfants",550000,"$9,091,940",Cohésion sociale et solidarité,2,550000,550000,550000,"545374,87","<font size=""4"" style=""color:#7797a3"">▲</font> + 0,8 %",3,2
Espaces verts et environnement,Ludothèques,489000,"$2,483,758",Cohésion sociale et solidarité,2,489000,489000,489000,"263080,2","<font size=""4"" style=""color:#7797a3"">▲</font> + 85,8 %",3,2
Service culturel,Acquisitions de matériel pour crèches et garderies,400000,"$2,625,337",Cohésion sociale et solidarité,2,400000,400000,400000,"374979,63","<font size=""4"" style=""color:#7797a3"">▲</font> + 6,6 %",3,2
